Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status
147,17.458,1679,2021,8,34,239,27,5,9,2021_8_27_9_0,1008.3,16.7,17.2,16.7,85,14.2,15.1,12.9,3.22,25.7,16.1,16.8,16.2,15.9,0.0,0.0,37,0.8,56,0.05,0.017,0.0,83.0,3,2021-08-27 09:00:00,Not_Visited
97,20.5,1679,2021,8,34,239,27,5,19,2021_8_27_19_2,1009.2,21.0,21.6,21.0,74,16.2,17.6,1.6,0.4,3.2,21.0,21.4,21.4,20.6,0.0,0.0,42,0.9,60,0.0,0.0,0.028,74.3,1,2021-08-27 19:02:00,Not_Visited
243,17.211,1679,2021,8,34,240,28,6,9,2021_8_28_9_0,1011.4,15.9,15.9,15.8,91,14.5,15.0,1.6,0.4,4.8,15.9,16.2,16.2,16.3,0.0,0.0,60,1.29,79,0.03,0.025,0.0,95.7,4,2021-08-28 09:00:00,Not_Visited
193,20.707,1679,2021,8,34,240,28,6,19,2021_8_28_19_2,1008.6,22.6,23.3,22.6,59,14.1,16.5,1.6,0.4,3.2,22.6,22.6,22.6,21.7,0.0,0.0,45,0.97,67,0.0,0.0,0.044,65.1,1,2021-08-28 19:02:00,Not_Visited
339,23.958,1679,2021,8,34,241,29,7,9,2021_8_29_9_0,1012.5,17.8,17.8,17.3,82,14.7,15.7,3.2,0.8,6.4,17.8,18.0,18.0,22.0,0.0,0.0,285,6.13,306,0.13,0.006,0.0,75.1,8,2021-08-29 09:00:00,Not_Visited
289,22.069,1679,2021,8,34,241,29,7,19,2021_8_29_19_2,1008.8,24.6,24.9,24.6,43,11.2,14.6,0.0,0.0,3.2,24.6,24.2,24.2,23.4,0.0,0.0,77,1.66,97,0.0,0.0,0.065,62.3,2,2021-08-29 19:02:00,Not_Visited
435,25.043,1679,2021,8,35,242,30,1,9,2021_8_30_9_0,1011.4,20.2,20.3,19.4,69,14.3,16.1,4.8,1.21,11.3,20.2,20.4,20.4,24.4,0.0,0.0,286,6.15,308,0.13,0.0,0.02,70.5,8,2021-08-30 09:00:00,Not_Visited
385,20.737,1679,2021,8,35,242,30,1,19,2021_8_30_19_2,1009.8,20.3,22.3,20.3,62,12.8,15.0,11.3,2.82,20.9,20.3,20.1,20.1,19.0,0.0,0.0,17,0.37,26,0.0,0.0,0.02,57.7,0,2021-08-30 19:02:00,Not_Visited
531,19.893,1679,2021,8,35,243,31,2,9,2021_8_31_9_0,1014.4,18.6,18.7,18.6,80,15.0,16.2,3.2,0.8,6.4,18.6,18.9,18.9,20.5,0.0,0.0,131,2.82,176,0.1,0.0,0.002,77.5,6,2021-08-31 09:00:00,Not_Visited
481,20.75,1679,2021,8,35,243,31,2,19,2021_8_31_19_2,1013.6,20.5,21.3,20.5,71,15.1,16.7,12.9,3.22,24.1,20.1,20.8,20.4,19.6,0.0,0.0,33,0.71,40,0.0,0.0,0.023,64.8,1,2021-08-31 19:02:00,Not_Visited
724,25.033,1679,2021,9,35,245,2,4,9,2021_9_2_9_0,1022.4,21.4,21.5,20.8,67,15.1,16.9,6.4,1.61,16.1,21.4,21.5,21.5,25.3,0.0,0.0,264,5.68,283,0.13,0.0,0.032,71.0,8,2021-09-02 09:00:00,Not_Visited
674,21.707,1679,2021,9,35,245,2,4,19,2021_9_2_19_2,1019.0,23.5,24.5,23.5,60,15.3,17.5,1.6,0.4,4.8,23.5,23.7,23.7,22.8,0.0,0.0,32,0.69,46,0.0,0.0,0.054,65.8,1,2021-09-02 19:02:00,Not_Visited
