temp_to_estimate,distanza_da_centralina_cm,anno_acquisizione,mese_acquisizione,settimana_acquisizione_su_anno,giorno_acquisizione_su_anno,giorno_acquisizione_su_mese,giorno_acquisizione_su_settimana,ora_acquisizione,timestamp_normalizzato,barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux
24.82,1679,2021,8,34,238,26,4,10,2021_8_26_10_1,1009.7,23.6,23.6,23,62,15.8,17.9,4.8,1.21,12.9,23.6,23.9,23.9,29.6,0,0,519,11.16,599,0,0,0.054,55.8,19
25.025,1679,2021,8,34,238,26,4,10,2021_8_26_10_2,1009.2,23.4,23.6,23.4,56,14.1,16.6,4.8,1.21,14.5,23.4,23.5,23.5,28.5,0,0,463,9.96,624,0,0,0.053,55.8,18
24.382,1679,2021,8,34,238,26,4,10,2021_8_26_10_3,1009.2,23.5,23.6,23.3,55,13.9,16.5,3.2,0.8,6.4,23.5,23.6,23.6,27.3,0,0,342,7.36,346,0,0,0.054,56.9,18
24.816,1679,2021,8,34,238,26,4,11,2021_8_26_11_0,1009.4,23.8,23.8,23.4,54,14,16.6,3.2,0.8,8,23.8,23.9,23.9,28,0,0,388,8.35,450,0.28,0,0.057,51.1,19
25.148,1679,2021,8,34,238,26,4,11,2021_8_26_11_1,1009.3,24.1,24.1,23.8,51,13.3,16.1,3.2,0.8,8,24.1,24,24,28,0,0,386,8.3,429,0,0,0.06,50.2,15
26.021,1679,2021,8,34,238,26,4,11,2021_8_26_11_2,1009.2,24.4,24.5,24.1,47,12.4,15.5,4.8,1.21,17.7,24.4,24.2,24.2,28.6,0,0,435,9.36,605,0,0,0.064,53.6,39
26.172,1679,2021,8,34,238,26,4,11,2021_8_26_11_3,1009.1,24.9,24.9,24.5,47,12.9,15.9,3.2,0.8,8,24.9,24.7,24.7,30.1,0,0,549,11.81,963,0,0,0.069,51,40
26.767,1679,2021,8,34,238,26,4,12,2021_8_26_12_0,1008.9,25.2,25.2,24.9,45,12.4,15.6,4.8,1.21,11.3,25.2,24.8,24.8,29.7,0,0,501,10.78,652,0.36,0,0.071,42.6,31
28.464,1679,2021,8,34,238,26,4,12,2021_8_26_12_1,1008.4,25.6,25.6,25.2,45,12.7,15.9,4.8,1.21,11.3,25.6,25.2,25.2,31.4,0,0,783,16.84,849,0,0,0.075,50.4,43
28.133,1679,2021,8,34,238,26,4,12,2021_8_26_12_2,1008,25.8,25.8,25.6,46,13.3,16.4,4.8,1.21,12.9,25.8,25.5,25.5,31.8,0,0,759,16.33,765,0,0,0.078,37.2,46
28.106,1679,2021,8,34,238,26,4,12,2021_8_26_12_3,1008.2,26.1,26.1,25.8,46,13.5,16.6,6.4,1.61,14.5,26.1,25.8,25.8,32.1,0,0,777,16.71,786,0,0,0.08,43.2,62
28.562,1679,2021,8,34,238,26,4,13,2021_8_26_13_0,1007.8,26.3,26.5,26.1,43,12.8,16,6.4,1.61,17.7,26.3,25.9,25.9,32.1,0,0,789,16.97,800,0.53,0,0.083,43.8,64
29.209,1679,2021,8,34,238,26,4,13,2021_8_26_13_1,1008.1,26.9,26.9,26.3,46,14.3,17.3,6.4,1.61,16.1,26.9,26.7,26.7,32.9,0,0,831,17.88,861,0,0,0.09,46.4,66
28.366,1679,2021,8,34,238,26,4,13,2021_8_26_13_2,1007.9,26.7,26.9,26.7,47,14.5,17.4,9.7,2.41,17.7,26.7,26.6,26.6,32.9,0,0,807,17.36,849,0,0,0.087,36.7,61
28.419,1679,2021,8,34,238,26,4,13,2021_8_26_13_3,1008,26.9,26.9,26.7,46,14.3,17.2,6.4,1.61,17.7,26.9,26.7,26.7,33,0,0,793,17.06,803,0,0,0.089,39.9,60
28.762,1679,2021,8,34,238,26,4,14,2021_8_26_14_0,1007.6,27.2,27.3,26.9,46,14.6,17.5,8,2.01,22.5,27.2,27,27,33.4,0,0,792,17.04,810,0.58,0,0.093,36,60
28.855,1679,2021,8,34,238,26,4,14,2021_8_26_14_1,1007.7,27.3,27.3,27.1,48,15.3,18.1,6.4,1.61,22.5,27.3,27.3,27.3,33.6,0,0,781,16.8,786,0,0,0.093,38.4,54
28.942,1679,2021,8,34,238,26,4,14,2021_8_26_14_2,1007,27.3,27.4,27.2,45,14.3,17.3,11.3,2.82,19.3,27.3,27,27,33.1,0,0,769,16.54,786,0,0,0.093,36.1,46
29.397,1679,2021,8,34,238,26,4,14,2021_8_26_14_3,1006.9,27.6,27.7,27.3,46,14.9,17.8,8,2.01,22.5,27.6,27.5,27.5,33.8,0,0,749,16.11,763,0,0,0.097,39.4,54
28.546,1679,2021,8,34,238,26,4,15,2021_8_26_15_0,1006.7,27.4,27.7,27.3,50,16,18.6,9.7,2.41,19.3,27.4,27.6,27.6,33.9,0,0,729,15.68,752,0.56,0,0.094,39.5,53
29.287,1679,2021,8,34,238,26,4,15,2021_8_26_15_1,1006.8,27.9,27.9,27.4,44,14.6,17.6,6.4,1.61,14.5,27.9,27.7,27.7,33.9,0,0,715,15.38,729,0,0,0.1,39.8,50
29.429,1679,2021,8,34,238,26,4,15,2021_8_26_15_2,1006.5,28.3,28.3,27.9,53,17.8,20.1,3.2,0.8,12.9,28.3,29,29,35.4,0,0,696,14.97,707,0,0,0.104,41.3,48
29.715,1679,2021,8,34,238,26,4,15,2021_8_26_15_3,1006,28.2,28.4,28.2,45,15.1,18,6.4,1.61,17.7,28.2,28,28,34.2,0,0,670,14.41,708,0,0,0.102,35.5,41
30.328,1679,2021,8,34,238,26,4,16,2021_8_26_16_0,1005.6,28.3,28.6,28.2,47,15.9,18.7,6.4,1.61,17.7,28.3,28.4,28.4,34.6,0,0,639,13.75,654,0.48,0,0.104,44.3,44
30.395,1679,2021,8,34,238,26,4,16,2021_8_26_16_1,1005.5,28.4,28.4,28.3,44,15,17.9,8,2.01,17.7,28.4,28.2,28.2,34.3,0,0,609,13.1,628,0,0,0.105,40.7,26
30.206,1679,2021,8,34,238,26,4,16,2021_8_26_16_2,1005.4,28.6,28.8,28.4,46,15.9,18.6,8,2.01,14.5,28.6,28.7,28.7,34.8,0,0,587,12.63,599,0,0,0.107,44.7,37
30.024,1679,2021,8,34,238,26,4,16,2021_8_26_16_3,1005,28.8,28.9,28.6,44,15.3,18.2,8,2.01,17.7,28.8,28.7,28.7,34.7,0,0,545,11.72,591,0,0,0.109,43.5,38
29.638,1679,2021,8,34,238,26,4,17,2021_8_26_17_0,1004.9,28.6,28.8,28.4,46,15.9,18.6,9.7,2.41,17.7,28.6,28.7,28.7,34.6,0,0,492,10.58,578,0.43,0,0.107,45.1,21
30.021,1679,2021,8,34,238,26,4,17,2021_8_26_17_1,1004.7,28.6,28.7,28.5,46,15.8,18.6,9.7,2.41,22.5,28.6,28.6,28.6,34.4,0,0,460,9.9,482,0,0,0.106,43.8,23
29.634,1679,2021,8,34,238,26,4,17,2021_8_26_17_2,1004.6,28.6,28.6,28.5,46,15.9,18.6,9.7,2.41,17.7,28.6,28.7,28.7,34.3,0,0,414,8.91,441,0,0,0.107,51.4,18
29.221,1679,2021,8,34,238,26,4,17,2021_8_26_17_3,1004.5,28.7,28.7,28.6,45,15.6,18.4,9.7,2.41,17.7,28.7,28.7,28.7,34,0,0,388,8.35,397,0,0,0.108,49.7,14
28.608,1679,2021,8,34,238,26,4,18,2021_8_26_18_0,1004.3,28.6,28.7,28.6,47,16.1,18.9,6.4,1.61,14.5,28.6,28.7,28.7,33.8,0,0,334,7.18,392,0.36,0,0.106,45.7,16
28.363,1679,2021,8,34,238,26,4,18,2021_8_26_18_1,1004.2,28.7,28.7,28.6,46,15.9,18.7,6.4,1.61,12.9,28.7,28.8,28.8,33.5,0,0,308,6.63,323,0,0,0.108,46.5,12
27.715,1679,2021,8,34,238,26,4,18,2021_8_26_18_2,1003.8,28.4,28.7,28.4,45,15.3,18.2,8,2.01,16.1,28.4,28.3,28.3,32.5,0,0,259,5.57,299,0,0,0.105,43.9,6
27.318,1679,2021,8,34,238,26,4,18,2021_8_26_18_3,1003.6,28.2,28.4,28.2,44,14.8,17.8,8,2.01,14.5,28.2,28,28,31.1,0,0,184,3.96,209,0,0,0.103,48.9,5
26.538,1679,2021,8,34,238,26,4,19,2021_8_26_19_0,1003.4,27.9,28.3,27.9,48,15.9,18.6,4.8,1.21,14.5,27.9,28,28,30.3,0,0,132,2.84,156,0.23,0,0.1,49.7,4
25.952,1679,2021,8,34,238,26,4,19,2021_8_26_19_1,1003.5,27.7,27.9,27.7,48,15.7,18.4,3.2,0.8,9.7,27.7,27.8,27.8,29.1,0,0,91,1.96,107,0,0,0.097,49.1,2
24.82,1679,2021,8,34,238,26,4,19,2021_8_26_19_2,1003.3,27.2,27.7,27.2,50,15.9,18.5,1.6,0.4,8,27.2,27.4,27.4,26.6,0,0,41,0.88,63,0,0,0.093,58.3,1
23.914,1679,2021,8,34,238,26,4,19,2021_8_26_19_3,1003.5,26.6,27.2,26.6,53,16.2,18.6,0,0,3.2,26.6,26.8,26.8,25.8,0,0,19,0.41,30,0,0,0.086,61.9,0
23.103,1679,2021,8,34,238,26,4,20,2021_8_26_20_0,1003.3,25.7,26.6,25.7,54,15.7,18.2,1.6,0.4,3.2,25.7,25.9,25.9,24.6,0,0,4,0.09,9,0.05,0,0.077,70.5,0
22.136,1679,2021,8,34,238,26,4,20,2021_8_26_20_1,1003.2,25,25.8,25,58,16.2,18.4,0,0,3.2,25,25.2,25.2,23.9,0,0,0,0,0,0,0,0.069,77.4,0
21.57,1679,2021,8,34,238,26,4,20,2021_8_26_20_2,1003.3,24.1,24.9,24.1,65,17.1,18.9,0,0,0,24.1,24.6,24.6,23.3,0,0,0,0,0,0,0,0.06,80,0
21.397,1679,2021,8,34,238,26,4,20,2021_8_26_20_3,1003.5,23.1,24.1,23.1,71,17.5,19,0,0,3.2,23.1,23.7,23.7,22.4,0,0,0,0,0,0,0,0.049,81,0
