Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status
56,22.127,788,2021,8,34,239,27,5,0,2021_8_27_0_1,1004.6,22.3,22.4,22.3,72,17.0,18.5,8.0,2.01,17.7,22.3,22.8,22.8,21.5,0.0,0.0,0,0.0,0,0.0,0.0,0.042,73.2,0,2021-08-27 00:01:00,Not_Visited
99,21.764,788,2021,8,34,239,27,5,1,2021_8_27_1_0,1004.6,21.9,22.1,21.8,75,17.3,18.6,8.0,2.01,16.1,21.9,22.4,22.4,21.2,0.0,0.0,0,0.0,0,0.05,0.0,0.037,75.3,0,2021-08-27 01:00:00,Not_Visited
100,21.409,788,2021,8,34,239,27,5,1,2021_8_27_1_1,1004.7,21.7,21.9,21.6,76,17.3,18.5,8.0,2.01,16.1,21.7,22.2,22.2,21.0,0.0,0.0,0,0.0,0,0.0,0.0,0.035,76.6,0,2021-08-27 01:01:00,Not_Visited
120,20.942,788,2021,8,34,239,27,5,2,2021_8_27_2_1,1004.6,21.2,21.4,21.2,78,17.2,18.3,6.4,1.61,14.5,21.2,21.8,21.8,20.5,0.0,0.0,0,0.0,0,0.0,0.0,0.03,79.6,0,2021-08-27 02:01:00,Not_Visited
122,21.066,788,2021,8,34,239,27,5,2,2021_8_27_2_3,1004.4,21.2,21.2,21.2,78,17.2,18.3,6.4,1.61,17.7,21.2,21.8,21.8,20.5,0.0,0.0,0,0.0,0,0.0,0.0,0.03,78.7,0,2021-08-27 02:03:00,Not_Visited
125,21.081,788,2021,8,34,239,27,5,3,2021_8_27_3_2,1004.8,21.0,21.3,21.0,75,16.4,17.7,12.9,3.22,25.7,20.6,21.5,21.0,19.8,0.0,0.0,0,0.0,0,0.0,0.0,0.028,74.6,0,2021-08-27 03:02:00,Not_Visited
126,20.382,788,2021,8,34,239,27,5,3,2021_8_27_3_3,1004.9,20.2,21.0,20.2,77,16.0,17.3,14.5,3.62,27.4,19.4,20.7,19.9,18.7,0.0,0.0,0,0.0,0,0.0,0.0,0.019,75.6,0,2021-08-27 03:03:00,Not_Visited
129,19.494,788,2021,8,34,239,27,5,4,2021_8_27_4_2,1006.2,19.3,19.6,19.3,80,15.8,16.9,14.5,3.62,25.7,18.6,19.9,19.1,17.9,0.0,0.0,0,0.0,0,0.0,0.0,0.01,78.2,0,2021-08-27 04:02:00,Not_Visited
132,18.736,788,2021,8,34,239,27,5,5,2021_8_27_5_1,1006.6,18.4,18.6,18.4,82,15.3,16.3,16.1,4.02,32.2,17.2,18.8,17.6,16.4,0.0,0.0,0,0.0,0,0.0,0.0,0.001,80.9,0,2021-08-27 05:01:00,Not_Visited
135,18.088,788,2021,8,34,239,27,5,6,2021_8_27_6_0,1006.8,17.8,18.0,17.8,84,15.1,16.0,12.9,3.22,24.1,17.4,18.1,17.7,16.4,0.0,0.0,0,0.0,0,0.03,0.005,0.0,82.5,0,2021-08-27 06:00:00,Not_Visited
136,17.998,788,2021,8,34,239,27,5,6,2021_8_27_6_1,1006.9,17.9,17.9,17.8,82,14.8,15.8,12.9,3.22,24.1,17.5,18.1,17.8,16.5,0.0,0.0,0,0.0,0,0.0,0.005,0.0,81.5,0,2021-08-27 06:01:00,Not_Visited
138,18.246,788,2021,8,34,239,27,5,6,2021_8_27_6_3,1007.3,18.1,18.2,18.1,81,14.8,15.9,12.9,3.22,24.1,17.8,18.4,18.0,16.7,0.0,0.0,0,0.0,0,0.0,0.002,0.0,80.4,0,2021-08-27 06:03:00,Not_Visited
142,17.607,788,2021,8,34,239,27,5,7,2021_8_27_7_3,1007.8,17.3,17.3,17.2,83,14.4,15.3,12.9,3.22,27.4,16.8,17.5,16.9,16.6,0.0,0.0,24,0.52,25,0.0,0.011,0.0,82.1,1,2021-08-27 07:03:00,Not_Visited
145,17.568,788,2021,8,34,239,27,5,8,2021_8_27_8_2,1008.3,17.3,17.3,17.2,82,14.2,15.2,12.9,3.22,20.9,16.8,17.4,16.9,16.4,0.0,0.0,21,0.45,33,0.0,0.011,0.0,81.5,2,2021-08-27 08:02:00,Not_Visited
146,17.648,788,2021,8,34,239,27,5,8,2021_8_27_8_3,1008.6,17.2,17.3,17.2,83,14.3,15.2,11.3,2.82,22.5,17.1,17.3,17.2,17.0,0.0,0.0,39,0.84,47,0.0,0.012,0.0,84.1,1,2021-08-27 08:03:00,Not_Visited
59,16.326,788,2021,8,34,239,27,5,10,2021_8_27_10_0,1009.0,15.6,15.7,15.6,92,14.3,14.7,11.3,2.82,19.3,15.1,15.8,15.4,15.3,1.8,20.6,57,1.23,69,0.03,0.029,0.0,91.5,3,2021-08-27 10:00:00,Not_Visited
62,16.951,788,2021,8,34,239,27,5,10,2021_8_27_10_3,1010.0,15.9,15.9,15.8,92,14.6,15.0,9.7,2.41,16.1,15.7,16.2,16.0,16.4,0.4,2.8,94,2.02,100,0.0,0.025,0.0,90.7,5,2021-08-27 10:03:00,Not_Visited
