Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status,sensor
55.0,21.707,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_0,1004.5,22.4,22.5,22.4,72.0,17.1,18.6,8.0,2.01,19.3,22.4,22.9,22.9,21.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.042,72.8,0.0,2021-08-27 00:00:00,Visited,1
99.0,21.764,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_0,1004.6,21.9,22.1,21.8,75.0,17.3,18.6,8.0,2.01,16.1,21.9,22.4,22.4,21.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.037,75.3,0.0,2021-08-27 01:00:00,Visited,6
119.0,20.954,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_0,1004.6,21.4,21.7,21.3,77.0,17.2,18.4,4.8,1.21,16.1,21.4,22.0,22.0,20.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.032,79.0,0.0,2021-08-27 02:00:00,Visited,3
121.0,20.479,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_2,1004.5,21.2,21.2,21.1,78.0,17.2,18.3,6.4,1.61,16.1,21.2,21.8,21.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,79.2,0.0,2021-08-27 02:02:00,Visited,1
125.0,21.081,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,3.0,2021_8_27_3_2,1004.8,21.0,21.3,21.0,75.0,16.4,17.7,12.9,3.22,25.7,20.6,21.5,21.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,74.6,0.0,2021-08-27 03:02:00,Visited,6
128.0,19.795,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,4.0,2021_8_27_4_1,1005.9,19.6,19.7,19.6,80.0,16.1,17.2,14.5,3.62,24.1,18.9,20.2,19.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,77.9,0.0,2021-08-27 04:01:00,Visited,5
119.0,20.954,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_0,1004.6,21.4,21.7,21.3,77.0,17.2,18.4,4.8,1.21,16.1,21.4,22.0,22.0,20.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.032,79.0,0.0,2021-08-27 02:00:00,Visited,3
131.0,18.87,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,5.0,2021_8_27_5_0,1006.4,18.6,18.8,18.6,82.0,15.4,16.4,14.5,3.62,29.0,17.8,18.9,18.2,17.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.002,79.8,0.0,2021-08-27 05:00:00,Visited,1
135.0,18.088,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,6.0,2021_8_27_6_0,1006.8,17.8,18.0,17.8,84.0,15.1,16.0,12.9,3.22,24.1,17.4,18.1,17.7,16.4,0.0,0.0,0.0,0.0,0.0,0.03,0.005,0.0,82.5,0.0,2021-08-27 06:00:00,Visited,6
137.0,18.12,1349.0,2021.0,8.0,34.0,239.0,27.0,5.0,6.0,2021_8_27_6_2,1007.2,18.1,18.1,17.9,81.0,14.8,15.9,12.9,3.22,25.7,17.8,18.4,18.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,79.8,0.0,2021-08-27 06:02:00,Visited,7
128.0,19.795,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,4.0,2021_8_27_4_1,1005.9,19.6,19.7,19.6,80.0,16.1,17.2,14.5,3.62,24.1,18.9,20.2,19.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,77.9,0.0,2021-08-27 04:01:00,Visited,5
