Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status
101,21.1146,1101,2021,8,34,239,27,5,1,2021_8_27_1_2,1004.8,21.6,21.7,21.6,76,17.2,18.5,8.0,2.01,16.1,21.6,22.2,22.2,20.9,0.0,0.0,0,0.0,0,0.0,0.0,0.034,75.9,0,2021-08-27 01:02:00,Not_Visited
124,20.978,1101,2021,8,34,239,27,5,3,2021_8_27_3_1,1004.8,21.3,21.3,21.2,74,16.5,17.9,9.7,2.41,25.7,21.3,21.7,21.7,20.4,0.0,0.0,0,0.0,0,0.0,0.0,0.031,75.6,0,2021-08-27 03:01:00,Not_Visited
125,20.819,1101,2021,8,34,239,27,5,3,2021_8_27_3_2,1004.8,21.0,21.3,21.0,75,16.4,17.7,12.9,3.22,25.7,20.6,21.5,21.0,19.8,0.0,0.0,0,0.0,0,0.0,0.0,0.028,74.6,0,2021-08-27 03:02:00,Not_Visited
130,19.09,1101,2021,8,34,239,27,5,4,2021_8_27_4_3,1006.3,18.8,19.3,18.8,81,15.5,16.6,14.5,3.62,30.6,18.1,19.3,18.6,17.3,0.0,0.0,0,0.0,0,0.0,0.0,0.005,78.8,0,2021-08-27 04:03:00,Not_Visited
131,18.876,1101,2021,8,34,239,27,5,5,2021_8_27_5_0,1006.4,18.6,18.8,18.6,82,15.4,16.4,14.5,3.62,29.0,17.8,18.9,18.2,17.0,0.0,0.0,0,0.0,0,0.05,0.0,0.002,79.8,0,2021-08-27 05:00:00,Not_Visited
138,18.277,1101,2021,8,34,239,27,5,6,2021_8_27_6_3,1007.3,18.1,18.2,18.1,81,14.8,15.9,12.9,3.22,24.1,17.8,18.4,18.0,16.7,0.0,0.0,0,0.0,0,0.0,0.002,0.0,80.4,0,2021-08-27 06:03:00,Not_Visited
145,17.715,1101,2021,8,34,239,27,5,8,2021_8_27_8_2,1008.3,17.3,17.3,17.2,82,14.2,15.2,12.9,3.22,20.9,16.8,17.4,16.9,16.4,0.0,0.0,21,0.45,33,0.0,0.011,0.0,81.5,2,2021-08-27 08:02:00,Not_Visited
146,17.738,1101,2021,8,34,239,27,5,8,2021_8_27_8_3,1008.6,17.2,17.3,17.2,83,14.3,15.2,11.3,2.82,22.5,17.1,17.3,17.2,17.0,0.0,0.0,39,0.84,47,0.0,0.012,0.0,84.1,1,2021-08-27 08:03:00,Not_Visited
59,16.671,1101,2021,8,34,239,27,5,10,2021_8_27_10_0,1009.0,15.6,15.7,15.6,92,14.3,14.7,11.3,2.82,19.3,15.1,15.8,15.4,15.3,1.8,20.6,57,1.23,69,0.03,0.029,0.0,91.5,3,2021-08-27 10:00:00,Not_Visited
60,16.747,1101,2021,8,34,239,27,5,10,2021_8_27_10_1,1009.6,15.6,15.6,15.5,91,14.1,14.6,11.3,2.82,20.9,15.1,15.8,15.3,15.2,0.2,2.2,57,1.23,63,0.0,0.029,0.0,90.1,4,2021-08-27 10:01:00,Not_Visited
67,21.472,1101,2021,8,34,239,27,5,12,2021_8_27_12_0,1010.9,17.5,17.5,16.8,89,15.7,16.3,6.4,1.61,12.9,17.5,17.9,17.9,20.6,0.0,0.0,268,5.76,348,0.1,0.009,0.0,80.5,18,2021-08-27 12:00:00,Not_Visited
74,24.792,1101,2021,8,34,239,27,5,13,2021_8_27_13_3,1011.8,20.7,20.7,19.6,69,14.8,16.5,9.7,2.41,19.3,20.7,20.9,20.9,27.0,0.0,0.0,833,17.92,867,0.0,0.0,0.024,53.5,64,2021-08-27 13:03:00,Not_Visited
75,26.082,1101,2021,8,34,239,27,5,14,2021_8_27_14_0,1010.6,20.8,20.8,20.6,72,15.5,17.1,11.3,2.82,20.9,20.8,21.1,21.1,27.3,0.0,0.0,800,17.21,816,0.38,0.0,0.025,51.1,62,2021-08-27 14:00:00,Not_Visited
80,28.835,1101,2021,8,34,239,27,5,15,2021_8_27_15_1,1010.2,21.7,21.9,21.7,67,15.3,17.1,9.7,2.41,16.1,21.7,21.8,21.8,28.0,0.0,0.0,722,15.53,731,0.0,0.0,0.035,50.5,52,2021-08-27 15:01:00,Not_Visited
81,27.929,1101,2021,8,34,239,27,5,15,2021_8_27_15_2,1010.4,22.0,22.0,21.7,69,16.0,17.7,9.7,2.41,20.9,22.0,22.2,22.2,28.4,0.0,0.0,716,15.4,737,0.0,0.0,0.038,48.6,50,2021-08-27 15:02:00,Not_Visited
88,26.695,1101,2021,8,34,239,27,5,17,2021_8_27_17_1,1010.2,22.2,22.3,21.4,67,15.8,17.6,6.4,1.61,14.5,22.2,22.4,22.4,27.6,0.0,0.0,389,8.37,513,0.0,0.0,0.041,56.9,12,2021-08-27 17:01:00,Not_Visited
