Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status
55.0,21.909,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_0,1004.5,22.4,22.5,22.4,72.0,17.1,18.6,8.0,2.01,19.3,22.4,22.9,22.9,21.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.042,72.8,0.0,2021-08-27 00:00:00,Not_Visited
56.0,22.052,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_1,1004.6,22.3,22.4,22.3,72.0,17.0,18.5,8.0,2.01,17.7,22.3,22.8,22.8,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,73.2,0.0,2021-08-27 00:01:00,Not_Visited
57.0,21.942,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_2,1004.5,22.3,22.4,22.2,73.0,17.2,18.6,8.0,2.01,17.7,22.3,22.8,22.8,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,72.8,0.0,2021-08-27 00:02:00,Passed
58.0,21.521,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_3,1004.5,22.1,22.3,22.1,74.0,17.2,18.6,8.0,2.01,19.3,22.1,22.6,22.6,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,73.7,0.0,2021-08-27 00:03:00,Not_Visited
99.0,21.279,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_0,1004.6,21.9,22.1,21.8,75.0,17.3,18.6,8.0,2.01,16.1,21.9,22.4,22.4,21.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.037,75.3,0.0,2021-08-27 01:00:00,Not_Visited
100.0,20.926,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_1,1004.7,21.7,21.9,21.6,76.0,17.3,18.5,8.0,2.01,16.1,21.7,22.2,22.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,76.6,0.0,2021-08-27 01:01:00,Not_Visited
101.0,21.172,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_2,1004.8,21.6,21.7,21.6,76.0,17.2,18.5,8.0,2.01,16.1,21.6,22.2,22.2,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,75.9,0.0,2021-08-27 01:02:00,Not_Visited
102.0,21.148,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_3,1004.7,21.7,21.7,21.6,76.0,17.3,18.5,8.0,2.01,17.7,21.7,22.2,22.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,76.4,0.0,2021-08-27 01:03:00,Not_Visited
119.0,20.963,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_0,1004.6,21.4,21.7,21.3,77.0,17.2,18.4,4.8,1.21,16.1,21.4,22.0,22.0,20.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.032,79.0,0.0,2021-08-27 02:00:00,Not_Visited
120.0,20.568,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_1,1004.6,21.2,21.4,21.2,78.0,17.2,18.3,6.4,1.61,14.5,21.2,21.8,21.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,79.6,0.0,2021-08-27 02:01:00,Passed
