Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status,sensor
102.0,21.047,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_3,1004.7,21.7,21.7,21.6,76.0,17.3,18.5,8.0,2.01,17.7,21.7,22.2,22.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,76.4,0.0,2021-08-27 01:03:00,Visited,1
120.0,20.434,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_1,1004.6,21.2,21.4,21.2,78.0,17.2,18.3,6.4,1.61,14.5,21.2,21.8,21.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,79.6,0.0,2021-08-27 02:01:00,Visited,2
126.0,20.234,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,3.0,2021_8_27_3_3,1004.9,20.2,21.0,20.2,77.0,16.0,17.3,14.5,3.62,27.4,19.4,20.7,19.9,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,75.6,0.0,2021-08-27 03:03:00,Visited,3
128.0,19.741,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,4.0,2021_8_27_4_1,1005.9,19.6,19.7,19.6,80.0,16.1,17.2,14.5,3.62,24.1,18.9,20.2,19.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,77.9,0.0,2021-08-27 04:01:00,Visited,1
135.0,18.124,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,6.0,2021_8_27_6_0,1006.8,17.8,18.0,17.8,84.0,15.1,16.0,12.9,3.22,24.1,17.4,18.1,17.7,16.4,0.0,0.0,0.0,0.0,0.0,0.03,0.005,0.0,82.5,0.0,2021-08-27 06:00:00,Visited,3
137.0,18.173,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,6.0,2021_8_27_6_2,1007.2,18.1,18.1,17.9,81.0,14.8,15.9,12.9,3.22,25.7,17.8,18.4,18.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,79.8,0.0,2021-08-27 06:02:00,Visited,1
139.0,18.071,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,7.0,2021_8_27_7_0,1007.6,17.8,18.1,17.8,82.0,14.7,15.7,14.5,3.62,25.7,16.9,18.0,17.1,15.9,0.0,0.0,0.0,0.0,0.0,0.03,0.006,0.0,81.9,0.0,2021-08-27 07:00:00,Visited,2
145.0,17.715,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,8.0,2021_8_27_8_2,1008.3,17.3,17.3,17.2,82.0,14.2,15.2,12.9,3.22,20.9,16.8,17.4,16.9,16.4,0.0,0.0,21.0,0.45,33.0,0.0,0.011,0.0,81.5,2.0,2021-08-27 08:02:00,Visited,3
147.0,17.418,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,9.0,2021_8_27_9_0,1008.3,16.7,17.2,16.7,85.0,14.2,15.1,12.9,3.22,25.7,16.1,16.8,16.2,15.9,0.0,0.0,37.0,0.8,56.0,0.05,0.017,0.0,83.0,3.0,2021-08-27 09:00:00,Visited,1
149.0,16.72,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,9.0,2021_8_27_9_2,1009.0,16.0,16.4,16.0,89.0,14.2,14.8,9.7,2.41,24.1,15.8,16.2,16.0,15.3,1.0,11.4,20.0,0.43,26.0,0.0,0.024,0.0,90.4,2.0,2021-08-27 09:02:00,Visited,2
